Sim	$DOMM	$EMERG	$INTROM	$NANC	$NSUB	$NTEM	$RECM	$SRD	$SRW	$TRANSIT	$CONN	$MERGE	$MER_G	$SAMP	LinearCombination_0	LinearCombination_1	LinearCombination_2	LinearCombination_3	LinearCombination_4	LinearCombination_5	LinearCombination_6	LinearCombination_7	LinearCombination_8	LinearCombination_9	LinearCombination_10	LinearCombination_11	LinearCombination_12	LinearCombination_13	LinearCombination_14	LinearCombination_15	LinearCombination_16	LinearCombination_17	LinearCombination_18	LinearCombination_19	LinearCombination_20	LinearCombination_21	LinearCombination_22	LinearCombination_23	LinearCombination_24	LinearCombination_25	LinearCombination_26	LinearCombination_27	LinearCombination_28	LinearCombination_29	LinearCombination_30	LinearCombination_31	LinearCombination_32	LinearCombination_33	LinearCombination_34
34	6.48371e-05	12464	0.00320987	18799	3623	3564	2.41198e-05	0.770173	0.54614	2544	68008	62464	65464	72464	117.09	-6.45723	17.5952	6.11665	-0.649332	3.95434	-26.1501	1.92219	6.58662	-8.18664	-13.5541	-12.9768	3.46562	0.153103	6.40875	1.08655	0.651568	2.40357	-0.375029	0.314087	1.49332	0.892739	2.65117	2.13532	-2.677	-1.42502	2.09652	0.712143	-0.339978	0.81216	-0.455411	0.617138	0.519301	-0.653833	0.248233
35	0.000123076	10710	0.00012616	19586	9672	8576	0.000167923	0.832936	0.501846	3180	66890	60710	63710	70710	50.688	-115.19	40.8842	-3.08528	-11.4429	16.469	12.6319	6.18746	-4.74079	6.40035	1.18612	-5.31804	-1.02879	-0.0846024	-3.30811	-0.396953	0.919357	-1.58128	3.26138	-0.0966685	2.9342	2.04109	-0.309219	-1.25812	1.67676	-0.575344	0.143821	-0.462745	-1.16531	0.00448264	0.610031	0.97052	1.5161	1.39844	0.143563
36	0.00317322	13607	0.00349091	16579	2819	9088	9.63986e-05	0.794389	0.169383	3456	70063	63607	66607	73607	-40.5986	17.6438	4.95358	12.2156	-4.72589	-4.64515	3.34471	3.08163	3.01251	-2.9085	2.9509	0.844171	-2.5396	3.09349	1.27729	-1.19236	0.698066	-0.525977	0.68173	0.0549673	1.09839	-1.37871	-0.237137	0.760418	-0.41416	0.125645	0.168659	-0.409613	-0.012634	-0.412349	0.0403014	-0.500725	0.471511	-0.647593	-0.276599
37	3.53634e-05	10652	0.000161607	14715	5893	2707	0.000150437	0.890936	0.535612	2222	65874	60652	63652	70652	118.344	-91.3497	-5.77444	3.20121	-7.8203	-1.32039	27.2679	15.6156	-5.01897	15.5362	5.90413	-1.62437	3.72617	3.70047	0.80225	-1.51994	1.89281	4.88239	0.166607	-1.21798	-1.14249	3.25666	0.200467	0.797839	0.857683	0.185049	0.530723	0.0327667	0.232542	0.462398	-0.0446363	-1.77124	0.418617	-0.539741	-0.203101
38	0.00024895	10328	0.00391003	15950	6862	7875	0.000453066	0.906681	0.10711	1910	65238	60328	63328	70328	-56.2459	-9.21452	4.47934	-8.52363	19.0586	3.40596	-8.29422	-0.405584	-2.15643	-3.57206	3.318	-1.22316	6.50888	0.578865	-3.01386	-2.11045	0.168628	1.29634	1.67691	-1.13122	0.807912	-0.786831	-2.07651	1.163	-0.893503	0.882572	1.18541	-1.11741	-0.229737	-0.753309	-0.540207	0.745057	0.217319	-0.791113	-0.23409
39	1.91499e-05	15510	0.000948852	18480	9528	8216	0.000681028	0.758604	0.425925	2099	70609	65510	68510	75510	62.3037	36.4815	-2.88789	4.65121	-7.4995	10.2958	-0.381303	-3.61598	-1.1084	-1.09983	0.203842	-0.363961	6.01271	0.0842525	1.388	-1.14753	1.57595	-1.61983	-1.46469	-2.433	-0.458385	0.0931727	-0.0566704	-1.63055	-0.100302	1.07009	-0.326544	-0.0379583	-0.122875	-0.0985881	-0.44489	0.56653	0.198677	-0.385699	0.341757
40	0.000156169	13508	0.000439599	16589	6611	9745	0.000200985	0.963484	0.25219	1110	67618	63508	66508	73508	-71.6744	-5.27054	-13.2057	20.2332	11.7332	-5.76658	5.98128	-1.88582	2.25759	-0.387501	0.76181	-1.73141	1.06463	6.83898	-0.834644	0.917943	0.421523	-1.13676	-1.08278	-1.50292	-0.558627	0.352867	0.762392	-0.0222658	-0.651594	-0.181853	0.865314	-1.46207	1.10008	-0.977056	0.83979	0.368625	0.346321	-0.0905877	-0.121488
41	0.00719109	18223	0.0162585	15702	1587	7436	3.23872e-05	0.709379	0.449694	500	71723	68223	71223	78223	-17.1832	27.8849	8.93797	15.1598	-6.1225	-3.38371	-2.1467	-1.33204	-4.7316	-2.7923	1.09332	-0.713324	-0.514327	-1.73374	-1.00123	0.565183	-1.43336	0.778586	0.968978	0.278428	-0.501728	-0.0936242	-0.308554	0.453349	0.205837	-0.256232	1.10856	-0.461283	-0.0274762	0.218787	-0.174501	0.339987	-0.242611	0.210272	-0.321117
42	8.2011e-05	14502	0.000499524	12257	3365	9138	6.82214e-05	0.756316	0.294045	1056	68558	64502	67502	74502	20.3104	-101.538	-22.3015	5.41485	-16.5577	13.4089	8.44059	9.16239	-0.556153	5.56374	-8.90595	-1.73522	0.93153	-0.300615	-2.54456	-2.64597	0.856347	-3.42197	-0.728331	-0.602303	0.848222	-3.23285	0.530014	3.49389	0.506725	-0.466736	1.12049	0.741319	-0.710387	-0.322934	-0.767399	0.124805	0.768293	-0.417652	0.457673
43	2.8938e-05	10394	0.0230016	13218	4354	6117	0.000621678	0.671747	0.173875	1122	64516	60394	63394	70394	35.7815	39.8666	-17.5719	6.01114	-2.15714	5.03668	2.27075	-2.26305	-0.636218	-4.74957	1.29752	0.225593	3.57316	-3.41206	0.833606	-3.70167	1.62239	-0.0549675	-1.03508	0.129258	0.542463	-0.610581	0.356057	-0.0472865	0.948468	-0.591824	-0.67822	0.985325	-0.376437	-0.2764	-0.0705376	0.404227	0.179326	-0.149654	0.454306
44	0.00845711	17040	0.000141796	12831	9047	3915	0.000402961	0.776733	0.69256	4611	74651	67040	70040	77040	-86.801	-25.6668	5.71545	-14.4207	6.66565	3.79382	1.87423	8.13553	-1.74364	-3.57878	-2.60981	2.26555	-3.14078	1.57486	3.1043	0.37391	-0.648801	2.00954	-1.93192	-0.606854	0.0395565	-2.0783	0.263437	-0.137639	1.05553	-0.290286	-0.028079	-0.149285	0.104874	-0.0923048	-0.687501	0.39671	0.518715	0.114824	-0.0181919
45	0.000187393	11434	0.00019769	13042	2975	9279	0.00303123	0.786983	0.883924	1359	65793	61434	64434	71434	25.2169	55.7761	-3.26229	-0.0446554	-8.00208	-2.49417	2.09946	2.37526	-3.47443	-0.63922	-0.539408	-0.475853	-1.17877	2.59451	0.278244	-0.600311	0.22532	-1.23508	1.18784	0.43766	0.453065	-0.498993	-0.538845	0.18755	-1.03463	0.856151	-0.539135	0.254018	-0.153691	0.37039	0.320352	-0.346935	-0.0518265	-0.233478	0.0779806
46	0.00995935	12746	0.00452638	15540	4221	8757	0.000352004	0.837621	0.263886	4976	70722	62746	65746	72746	-14.0681	42.7745	-15.5772	-12.0912	4.84843	-5.76107	3.53242	2.7551	-10.0865	2.05522	-5.35084	-3.21568	-2.86563	2.65835	1.35018	-2.86878	-0.859226	-0.211746	-0.549461	1.77819	-2.4229	0.253487	-0.790977	0.0899625	0.654973	-1.23733	0.475596	0.107392	0.357814	-0.24414	0.185976	0.232698	0.184003	-0.208263	0.017954
47	0.00523275	13303	0.000506285	14630	7788	9805	1.1982e-05	0.717568	0.265639	3692	69995	63303	66303	73303	-70.3244	1.06182	3.4835	15.7158	2.81266	-7.75492	1.90413	-6.37006	1.27685	0.139904	1.40394	-1.42845	-0.580399	2.55039	-0.143195	0.00316129	2.90469	-1.23576	0.41648	-0.379608	0.229904	0.416531	-1.72626	0.210104	-0.626101	-0.0639231	0.17591	-1.05471	-0.852348	0.550602	-0.3131	-0.0702754	0.0286256	0.741755	-0.317188
48	7.7844e-05	14447	0.000103834	15361	8113	9085	0.000291753	0.850246	0.129369	1524	68971	64447	67447	74447	38.6163	-72.7697	9.55414	4.08912	-11.777	28.7152	8.51522	14.888	-0.931205	1.7302	-1.68337	0.309802	1.3646	0.256678	7.06917	-1.58695	-0.878209	-0.591534	-0.613977	-1.93618	-1.63368	2.5118	0.943291	0.120991	1.32038	0.591026	0.65389	-0.415831	-0.566072	-0.953352	1.02029	0.271702	-0.376604	-0.261028	-0.231643
49	0.000164502	12579	0.0297381	11602	2786	2408	4.46379e-05	0.779843	0.166814	4684	70263	62579	65579	72579	152.428	-92.5116	23.3228	-13.5962	-10.9747	-37.6278	9.08191	-1.33859	-8.64972	3.74072	2.04875	0.23659	-0.203849	4.70436	-4.31782	4.38421	1.94515	0.258521	-0.558852	0.399474	-0.447647	0.161392	-0.631802	3.17713	2.85828	0.017741	-2.42995	0.49907	-0.0941413	-2.49751	-1.0517	-0.00666547	0.0230457	0.652185	-0.141058
0	0.000365082	15670	0.00384937	15641	4559	8176	1.71919e-05	0.985749	0.136976	2267	70937	65670	68670	75670	-6.37885	25.3658	-22.4482	-22.1821	6.4437	0.942939	3.6812	-6.48388	-4.51052	-0.0559632	-6.74061	-2.03883	-1.01711	-3.5012	0.421982	1.70032	2.08268	0.526502	-2.06192	2.78501	-2.47259	-0.741797	1.33667	-0.57548	0.632359	0.582254	1.11757	-0.949591	0.0876454	0.0834947	0.211835	-0.772384	0.613637	0.580728	0.277575
1	0.00039357	11360	0.0171116	17121	1639	5587	0.00337081	0.731712	0.16273	1712	66072	61360	64360	71360	31.8266	57.9971	-4.19313	-5.89818	-10.1975	-1.46712	1.85306	1.82078	-2.79621	-0.297035	-1.96112	0.44424	-2.89591	3.00928	0.105261	-0.871134	1.30137	-0.768512	0.433019	2.21784	-0.702529	-0.429824	0.19246	0.345763	-1.06103	1.38834	0.158707	-0.545567	-0.80529	0.548561	0.0923991	0.183603	-0.603769	0.455865	-0.0271469
2	0.000124274	18663	0.000123621	14992	2576	9816	3.41206e-05	0.636863	0.594149	2894	74557	68663	71663	78663	181.069	-52.3992	-2.13823	0.669408	26.1491	-39.4612	15.0886	1.50877	-4.00433	-5.86547	0.643959	17.4403	-1.66992	-4.03475	-5.04794	-0.575042	0.0205295	-3.98618	0.548528	-0.010814	0.763332	-2.14772	0.369793	-1.52534	-0.103259	0.524779	0.904181	0.61156	0.117198	-0.587617	0.619419	0.00793043	0.492413	-0.0167355	1.12383
3	3.39054e-05	10763	0.00174645	13008	9674	1690	0.00440266	0.730689	0.158007	1978	65741	60763	63763	70763	20.2663	40.8838	-4.16313	21.1217	-8.95932	0.960649	1.80649	0.0600795	-5.15416	-5.65306	0.197161	0.649507	-0.343873	2.21926	-1.32238	0.362453	-0.541708	1.04855	0.509517	0.223748	-0.210513	0.159575	-0.377864	-0.351636	-0.439004	-0.133455	-0.0519288	0.170518	-0.0108275	-0.382727	-0.0386132	0.115928	0.102346	0.122031	-0.18958
4	0.00555503	19581	0.000271315	17589	9746	2183	0.00199157	0.977003	0.427583	1320	73901	69581	72581	79581	-30.313	-53.9463	-18.482	-9.1563	-7.36269	15.4646	15.2301	-2.7163	-2.148	-4.91479	-10.2082	-0.131802	-4.01053	-7.54802	5.37312	2.40106	-0.460763	0.937712	-1.91009	-2.70078	1.06854	-1.79562	-1.12757	1.3979	0.0700969	-1.44069	1.17012	-0.971135	0.268892	-0.138701	-0.387847	-0.161274	-0.0878161	-1.33277	-0.0881699
5	1.47646e-05	18048	0.000125558	17001	2735	9333	3.69139e-05	0.881534	0.215727	1376	72424	68048	71048	78048	148.975	-99.1555	22.2335	-5.44796	-14.9011	-35.485	12.1666	9.96953	-8.79196	-4.75872	-5.33093	5.02452	9.21438	1.28819	0.709795	0.34418	-1.94745	0.799889	-2.55356	-3.7283	-2.23054	0.376312	0.734195	1.44938	0.732683	0.803367	-0.422908	-0.227366	-0.834625	-0.35778	-0.701076	1.16714	-0.69938	-0.715566	0.372426
6	0.000126631	18855	0.00601487	19543	5225	5352	1.04336e-05	0.736029	0.280734	2585	74440	68855	71855	78855	92.0065	-45.3381	-43.071	5.48309	-7.03113	3.83378	-28.0018	-6.13638	1.44639	-3.35629	4.59544	-4.79477	-8.43501	-5.86617	-0.624492	-0.506601	-2.45614	-1.69185	-0.644015	0.285756	2.26474	-1.61741	1.53749	1.10065	-0.0349539	0.314548	0.785775	-0.124237	-1.08676	-0.336018	1.02427	-0.842981	-0.345397	-0.0534501	0.126925
7	1.74179e-05	15197	0.00346592	17316	7508	3575	0.000361431	0.807354	0.178996	486	68683	65197	68197	75197	32.1391	37.4897	-6.27405	4.37878	2.8887	6.13987	2.16993	3.51688	0.328363	-0.992633	3.41805	-0.581687	7.09932	0.627028	3.54151	0.768189	0.111247	-1.4273	-0.355465	-2.22502	0.514446	-0.182625	0.370891	-1.71974	1.19501	1.54901	0.89902	-1.66255	-0.902069	-0.719203	-0.176298	0.445651	0.494406	-0.271221	0.553591
8	0.00273227	10243	0.0106689	13675	2358	7702	2.27857e-05	0.83723	0.362834	2729	65972	60243	63243	70243	47.2413	52.1184	2.53915	-2.29538	-11.9571	4.73592	-3.23194	-3.68024	-3.11896	-2.11033	-0.916733	2.54154	0.427132	4.2768	-1.78208	0.418711	0.220475	0.631028	0.547581	0.799942	0.38291	-0.0238516	-0.755946	-0.786564	-0.965329	-0.187968	-0.441938	0.593582	0.173844	-0.381611	0.0567938	-0.613989	0.397293	-0.48901	-0.383268
9	3.625e-05	14677	0.00165006	19238	3595	7405	0.00366435	0.790261	0.257148	838	68515	64677	67677	74677	24.4498	55.4533	-3.14039	1.83661	-7.1164	-3.0579	1.71949	2.7549	-2.61344	-0.296584	-0.382037	-0.895794	-0.565215	1.68226	-1.15912	0.757383	-0.403414	-0.896996	0.574742	-0.490036	0.135354	-0.0662096	0.279919	0.282412	-0.578373	-0.00840951	-0.00884945	0.379128	-0.0605364	0.221777	0.100595	0.0375756	-0.197204	-0.0012928	0.0481713
10	0.0078837	17370	0.00759558	11090	6505	2248	1.15639e-05	0.669399	0.637354	4509	74879	67370	70370	77370	-53.6462	19.7889	3.13055	21.2429	3.41388	-9.01638	2.0114	0.212743	-3.81947	-4.41456	2.4182	-3.26077	-0.580448	-1.40074	-0.805294	1.6206	0.800539	0.206332	0.627257	-0.361236	-1.04872	-0.917779	0.472773	-0.295585	0.544233	0.555837	0.210688	0.798948	0.0368264	0.42635	-0.621239	0.284246	-0.388085	0.56155	-0.354627
11	0.000705349	19023	0.00405341	12736	6246	4239	0.000917886	0.882786	0.558066	35	72058	69023	72023	79023	-55.9373	-15.6705	9.76765	0.775487	4.55503	3.47462	-5.48088	1.07712	4.39573	-0.317064	3.83252	3.07571	3.27103	1.64892	0.308163	-3.3271	-0.483843	0.18915	-0.798461	2.05137	-0.641399	0.0408957	1.02127	-1.0676	0.178442	-0.242475	-0.0464262	0.174946	-0.0357814	-0.590496	0.348449	-0.177432	0.208171	-0.0896772	0.1424
12	3.25661e-05	19699	0.0197443	16605	3233	3696	0.00295431	0.692037	0.247394	785	73484	69699	72699	79699	44.0882	59.9503	-4.50793	-4.81286	-11.3446	0.691517	2.31313	1.66502	0.727404	-0.736016	-0.424625	1.33251	-0.929207	1.26513	-0.114171	0.614385	0.289653	0.0564194	-0.324592	-0.492524	-0.0905058	0.410784	0.464952	-0.366528	0.0823276	0.47657	0.157302	-0.390353	-0.0829413	-0.243467	0.0750006	0.461697	0.141354	0.0676034	0.148914
13	0.000817731	15215	0.00170398	17173	5424	5103	0.00962554	0.902717	0.323172	392	68607	65215	68215	75215	33.9507	44.2636	-3.01926	-8.96378	-5.83695	3.81665	-2.71948	7.95467	-2.92415	1.01151	-1.58889	2.15089	-1.10761	3.44544	-1.93722	0.518593	0.238725	-0.409893	-0.454763	-0.0185667	-0.0936243	1.36597	0.885758	0.714471	-0.105169	0.278878	0.0560254	-0.68213	0.278765	0.546291	0.221454	0.873488	-0.678734	-0.235996	0.601387
14	0.00461542	19389	0.00134954	19225	4647	9350	0.000471219	0.970153	0.628255	3139	75528	69389	72389	79389	38.2955	35.9311	-22.708	-5.51553	-4.64006	6.64537	4.03937	-1.01945	-0.094632	-3.10262	-1.19274	2.18546	1.50655	-1.98621	1.41029	-2.05823	0.091939	0.252893	-1.40014	-0.325954	1.57397	-0.950959	1.78498	0.45653	-1.06231	0.393294	-1.48857	0.805561	1.19764	-0.51167	0.144254	-0.667376	-0.738966	-0.4855	0.0890445
15	0.00262757	11377	0.00327884	12262	8117	2467	0.000981059	0.780928	0.568295	1362	65739	61377	64377	71377	-99.1144	-45.6837	0.439679	3.75889	3.94394	2.11996	2.97711	3.11547	-0.135864	-2.25256	-1.11448	1.41704	-2.32357	-3.7839	4.13912	-2.77725	0.638793	0.784046	-1.92018	0.675912	-0.331096	-0.708538	0.691649	-0.091454	1.47177	-0.462723	-0.992981	1.23721	0.194914	0.436999	-0.177614	0.0576978	-0.215057	0.300536	-0.00923133
16	0.00688998	12985	0.000462832	16262	6853	9983	6.63439e-05	0.731575	0.226758	4668	70653	62985	65985	72985	-85.6986	-7.27562	-10.0559	20.9008	12.2084	-7.24949	5.40188	1.31818	-5.61231	-2.4665	-0.304745	-2.76233	0.204617	2.30163	0.704606	-0.608156	0.793608	-0.667494	0.709311	1.09639	0.243216	-0.302086	-0.892273	-0.0466777	-0.554819	0.238415	-0.53956	-0.466364	-0.983795	0.279754	0.466027	-0.221599	-0.13074	0.17373	0.522388
17	0.007095	13546	0.0170266	14408	9085	5642	0.000141006	0.870003	0.211405	2180	68726	63546	66546	73546	-37.2873	20.6932	-11.0851	3.45734	-0.639406	-4.20516	9.10368	5.30029	8.5483	-4.9708	0.973648	1.22554	-5.16391	4.58113	-0.503453	1.55341	0.885031	1.48183	-1.98693	1.4314	-2.41388	-1.03348	2.95909	-0.433396	0.471697	0.22984	0.426016	0.0790892	-0.202727	-0.459341	-0.0496826	0.0136835	0.075333	0.204665	0.268231
