Sim	$DOMM	$EMERG	$INTROM	$NANC	$NSUB	$NTEM	$RECM	$SRD	$SRW	$TRANSIT	$CONN	$MERGE	$MER_G	$SAMP	LinearCombination_0	LinearCombination_1	LinearCombination_2	LinearCombination_3	LinearCombination_4	LinearCombination_5	LinearCombination_6	LinearCombination_7	LinearCombination_8	LinearCombination_9	LinearCombination_10	LinearCombination_11	LinearCombination_12	LinearCombination_13	LinearCombination_14	LinearCombination_15	LinearCombination_16	LinearCombination_17	LinearCombination_18	LinearCombination_19	LinearCombination_20	LinearCombination_21	LinearCombination_22	LinearCombination_23	LinearCombination_24	LinearCombination_25	LinearCombination_26	LinearCombination_27	LinearCombination_28	LinearCombination_29	LinearCombination_30	LinearCombination_31	LinearCombination_32	LinearCombination_33	LinearCombination_34
0	5.85119e-05	19988	0.0482786	18945	9371	7911	0.000210347	0.725684	0.748418	2224	75212	69988	72988	79988	46.4869	35.5354	4.61941	-4.51462	0.393185	8.22822	-6.54684	-10.857	7.17203	1.9005	4.00777	-1.39566	8.99361	2.60152	-0.565931	-2.85242	-2.13262	-2.1871	0.743371	1.30741	-1.30298	-0.668154	-1.02752	-0.132837	-1.3466	0.770149	-0.272889	0.220353	0.563157	0.869099	-0.188372	0.144787	-0.780487	-0.306899	-0.24738
1	0.000816421	18810	0.00198976	15235	6005	4513	0.0064307	0.673316	0.664279	6	71816	68810	71810	78810	29.8043	61.9229	-2.36054	-6.8131	-10.6603	-3.7837	1.80102	-0.3345	-2.53023	2.24911	-1.91488	-0.717562	-2.48148	1.87687	0.73943	-0.284365	0.0125688	-1.34671	-0.0615596	-0.455134	-0.263544	0.125222	-0.253319	0.0735298	0.0693853	-0.651575	-0.0128103	0.339164	-0.213282	0.464634	-0.000391682	-0.130438	-0.161879	-0.26143	0.345256
2	0.00575631	17477	0.00131648	19473	7867	2232	8.5013e-05	0.695895	0.118767	1404	71881	67477	70477	77477	-100.511	-28.4973	4.70638	5.73523	7.07151	-6.74333	2.6784	-7.4901	6.62239	3.79031	1.0018	-1.30687	1.21478	1.08152	0.557627	2.01332	0.036455	-0.71157	0.881588	0.0993405	0.0297311	0.992707	-1.27111	-1.32557	0.384949	0.187662	0.0177808	-0.272096	-0.575568	0.718263	0.0506554	-0.0611126	-0.320068	0.423137	0.0815717
3	0.00517639	15734	0.000627837	14478	9874	5366	0.000348016	0.711126	0.654075	2708	71442	65734	68734	75734	-89.9481	-10.7358	3.71146	3.3392	5.55388	-7.12083	3.40925	1.51211	0.931185	0.985364	-1.11677	-1.87609	-2.059	-0.691205	0.528338	1.12935	0.570266	-0.535233	-0.902924	0.277393	-0.793651	-0.15599	-0.0738636	0.27287	0.0678841	-0.606485	-1.14391	0.811801	-0.743045	1.06681	-0.19527	0.0152486	-0.670031	-0.102246	0.329878
4	1.24808e-05	19317	0.00285142	16363	9613	5441	1.00215e-05	0.939046	0.309776	578	72895	69317	72317	79317	129.322	41.3358	-1.15967	30.3834	21.2814	13.5281	-15.4788	5.69179	4.90282	15.5088	-3.07954	-1.46151	-2.48902	-1.36732	-3.068	0.448557	0.560711	4.06906	0.21244	-2.67668	-2.25649	-5.49166	-1.92539	-0.256213	1.82424	-0.416323	-1.3496	-0.69734	-0.280701	0.0131773	1.44359	-0.829825	-0.482874	-0.406174	-0.590927
5	1.51872e-05	17281	0.000740062	18349	4913	8367	0.00100492	0.841015	0.811281	4615	74896	67281	70281	77281	16.1756	38.1136	-2.45219	19.3346	-6.07405	-0.671966	2.34993	-2.43553	1.11707	-1.38085	2.47258	-1.10977	3.87473	-1.01938	-0.142534	0.27368	1.12259	-2.33779	-0.814535	-2.55159	0.986679	0.0182652	0.0768038	-0.778884	0.160615	-1.53372	-0.432795	0.973717	1.03066	-0.0320891	-0.237318	-0.306283	0.00645408	0.236276	0.0154908
6	5.9425e-05	10671	0.00434408	18453	5322	4398	0.000402755	0.761911	0.119766	4067	67738	60671	63671	70671	69.9833	33.3119	-1.5901	-5.88226	7.55787	15.7854	-1.56861	1.09089	6.8811	-2.01728	6.46602	-1.79558	7.50753	3.86994	1.50674	1.62136	-0.841611	-2.84656	3.76719	0.48376	1.91208	-0.224479	-2.45364	0.582244	1.31039	0.608664	-1.17316	0.483832	0.173885	0.676113	0.00892074	0.532116	-0.970418	-0.594849	1.63675
7	0.00376355	12472	0.00174876	11852	8388	1546	0.00148483	0.877345	0.342624	3402	68874	62472	65472	72472	-72.3152	19.214	0.14045	-9.61615	10.3936	-11.6533	2.30708	1.6232	-0.0267576	2.90921	0.8281	-3.84788	-0.341116	-0.768714	1.28548	-0.774633	-1.35674	-0.724063	0.316051	-0.7121	-0.346693	-0.9905	0.592047	0.48097	-0.225146	0.676286	-0.0616959	0.00357124	0.248337	-0.171847	-0.00603153	-0.280267	0.108705	0.00391981	0.14889
8	1.28688e-05	17111	0.00739233	19029	6198	8870	7.00473e-05	0.851428	0.245679	1369	71480	67111	70111	77111	120.088	36.8456	-1.74528	21.4964	9.42923	8.50157	-8.27908	1.20129	-0.264687	9.8898	6.9394	-3.49927	2.87952	1.80312	4.72682	2.99996	-0.372494	2.021	-2.71375	0.900692	-0.168793	1.42853	0.048998	2.65713	-0.264751	0.439936	1.26303	1.00316	-0.390807	0.468212	-0.710264	-0.623677	0.575566	-0.0346667	-0.421585
9	0.00319113	18793	0.020402	18741	9713	5994	0.000244269	0.961367	0.684356	3121	74914	68793	71793	78793	-13.1643	34.5837	3.12955	-5.57597	1.04666	-2.17939	-1.23291	0.142322	-5.52634	-0.779946	0.0669672	-0.529304	1.77332	1.32611	0.170403	0.876923	0.65079	-0.4233	0.841646	-1.08932	1.21335	-0.661173	-0.897883	-1.4198	-0.123252	-0.0407998	-0.409824	0.996376	-0.0659478	-0.153028	-0.373865	-0.489702	0.373586	0.590013	-0.617628
10	0.0204503	12647	0.0323865	17142	4199	5696	0.00112863	0.705086	0.560909	636	66283	62647	65647	72647	-47.2226	25.3247	5.75646	-5.47674	1.81271	-7.74627	-0.505646	2.44409	-2.79539	-0.321261	1.18673	-0.323513	-1.99707	-1.61232	-0.0465597	1.41756	3.26742	0.0214662	0.538654	0.0379178	0.660478	-0.295442	0.766932	-0.168904	1.18137	-0.211223	1.2524	-0.00456592	-0.778882	-0.177143	-0.149278	0.0524552	-0.516463	-0.213398	-0.340672
11	2.36211e-05	17086	0.00213026	15326	7295	3947	0.000974175	0.882621	0.14564	4637	74723	67086	70086	77086	43.7737	33.1898	-4.98013	4.37742	-6.61751	7.70236	1.68491	-6.0117	6.82153	2.5755	3.80928	1.22565	4.04608	0.556574	5.30752	-0.399476	-3.97235	0.202617	-0.999497	-1.55742	-0.3639	1.2252	0.786521	-0.49715	2.48293	0.128605	0.104019	-0.613028	-0.670137	0.0353339	0.26742	0.647878	-0.900374	-0.15612	0.249905
12	0.000492901	19742	0.0107032	16593	9178	2778	0.000584111	0.619843	0.311356	4775	77517	69742	72742	79742	-95.4405	-75.5736	-20.8722	6.91852	7.2588	4.57401	5.18847	1.42733	6.96925	-0.550705	-0.0199382	2.69532	-0.655312	0.212306	1.98549	-4.19061	2.79841	0.551537	-0.162226	1.03068	-0.537775	1.76779	-0.625083	-1.06087	0.000928513	1.63461	-0.73324	0.345938	-0.0587746	0.0594128	-0.543174	0.137002	0.0445926	-0.317809	-0.172839
13	0.0177645	17803	0.000702344	14261	8589	7917	0.00280806	0.776303	0.626555	4585	75388	67803	70803	77803	-1.17147	-6.42765	12.5118	1.25287	-16.5549	5.65222	0.289167	7.23638	2.8797	6.36068	-1.09528	1.24231	3.1007	-3.2071	3.20699	-6.15163	-3.86809	-1.98953	-0.631111	0.342531	0.684678	0.237924	-0.437513	0.786974	-0.457165	-1.23192	-0.159062	0.203983	0.952147	-0.171778	-0.0620934	-0.387422	0.0274153	0.436762	-0.340748
14	0.006524	11977	0.00432012	12914	4825	7544	0.00901115	0.927521	0.117124	4545	69522	61977	64977	71977	-63.9992	15.8047	9.6129	24.6774	-3.72966	-10.3919	4.85507	2.06237	8.09492	-4.94513	6.47029	-0.847092	-3.02534	0.502964	0.268486	1.50014	-2.5023	0.685633	1.42262	-0.995581	-0.00730065	-1.25966	0.911999	0.0616599	0.233324	1.62361	-0.450394	0.356909	0.942194	0.104756	0.218145	-0.0217852	0.571054	-0.358516	-0.0354922
15	0.000622186	14266	0.000863113	12742	7095	5421	5.88874e-05	0.967497	0.111294	4926	72192	64266	67266	74266	-48.4177	-37.0684	-30.6537	2.03797	15.1816	8.16926	6.9827	0.647033	4.25895	-5.45128	-0.536335	1.12432	3.51201	5.62802	-1.48155	-2.47582	0.324547	0.879534	-0.630739	-0.903614	1.68197	-1.60985	0.572905	0.83244	-1.69766	-0.292986	0.219466	-0.176036	0.0943731	-0.0767471	-0.422811	-0.960409	-0.442803	0.193191	-0.211092
16	0.000839663	19276	0.00288652	19306	4614	5120	0.00253895	0.931918	0.241911	3068	75344	69276	72276	79276	1.58161	55.6727	-5.9875	-1.49648	-9.3988	-7.60974	10.9118	2.46064	10.9177	-4.11883	1.59404	-1.05682	-3.88694	-1.24574	-0.811757	5.37256	-3.66292	2.27487	0.511054	-1.33411	-0.697793	-1.02958	1.30501	-0.34895	0.581903	0.766726	0.779971	-0.0381768	0.688961	0.00939787	-0.466243	-0.0731824	0.123486	0.288762	-0.418499
17	0.000701227	11781	0.00155526	12443	3073	3380	0.000318981	0.873798	0.436577	3655	68436	61781	64781	71781	-37.5478	-16.769	-16.915	4.81564	14.1781	8.29615	3.07113	-9.70869	-5.45209	-8.37684	-2.50236	-2.30023	3.19186	1.193	-0.153576	-0.377325	0.10996	1.81999	-0.405751	0.775495	-2.37969	-1.40493	-0.932178	-0.618853	-1.80087	0.557731	-0.17307	0.433009	-0.203639	0.269593	-0.341941	-0.432409	-0.70019	0.310908	0.210463
18	0.00378586	17826	0.011985	16753	9201	5547	0.0024419	0.667285	0.793062	1244	72070	67826	70826	77826	-103.265	-37.5269	-9.83899	9.70401	6.36057	-5.49789	7.51362	-3.42289	4.88048	3.27609	-1.99474	-1.04208	-0.323248	-4.13829	2.34023	0.460952	3.09302	-1.43432	-1.99248	1.05055	-0.224826	0.669276	0.635759	-0.339918	0.661333	0.409006	-0.580056	-0.62157	-0.376712	-0.19241	0.415333	-0.466749	0.612527	-0.0350516	0.440891
19	0.000485879	14786	0.0140777	13316	7273	5134	0.00852058	0.814744	0.454837	3626	71412	64786	67786	74786	32.1727	52.9488	4.73238	2.11151	-12.0206	-0.920673	-2.765	-0.56664	-3.67739	0.314542	-0.434026	0.754623	-0.903755	-0.87472	-0.998275	0.331082	2.2655	-0.621654	-0.382543	1.21163	-1.04924	0.78011	1.06632	-0.541025	0.145669	0.607667	1.10718	-0.893614	0.531709	-0.727664	0.222061	-0.390191	0.572311	0.117412	0.188423
20	0.0119331	15941	0.00545259	18474	5134	5284	2.84896e-05	0.876802	0.617273	1880	70821	65941	68941	75941	-44.1723	23.0844	1.02513	34.7437	0.694056	-9.09309	1.8001	-4.42203	-6.25329	-5.39846	3.23442	-3.41064	-0.65697	1.26763	-0.593514	-0.281691	-0.246821	0.104473	2.08221	-0.964379	-0.277129	-0.308775	-1.45844	0.120633	0.242724	-0.161948	-0.0260396	0.886516	-0.166908	0.301393	0.0471966	0.273969	0.0140246	-0.430301	0.0693947
21	0.0176261	13647	0.0293751	10147	7090	9820	0.000119848	0.842189	0.440168	3984	70631	63647	66647	73647	-82.1825	-14.0021	9.85573	2.69505	1.35637	-2.39378	2.44587	7.20167	-1.8633	0.587071	-2.64011	-0.0974458	-1.94639	0.300204	2.11007	2.76167	-2.7222	-0.388096	-0.871485	-0.00663338	0.562351	-1.40984	0.13882	0.0691589	-0.0898939	-0.0941471	0.394381	-1.38877	0.415024	0.728255	-0.480232	-0.500852	-0.252073	0.203448	-0.175796
22	0.0144313	16700	0.000887643	12418	3724	4004	0.00426746	0.698306	0.611039	132	69832	66700	69700	76700	-75.6408	5.03834	5.77142	-11.6851	9.51345	-8.04392	-2.18328	0.922471	-3.53515	2.65565	0.539059	-2.04074	-0.275704	-0.150094	0.642242	-2.78435	1.20633	0.0767431	0.189313	-0.328884	-0.744778	0.0274642	0.0670497	0.118257	-0.102374	0.575429	-0.332345	0.938197	0.068162	-0.671968	-0.154686	0.186274	0.0839228	0.107681	-0.269274
23	0.00124179	14312	0.0133641	11985	2898	3177	0.000276231	0.741126	0.577571	3860	71172	64312	67312	74312	-56.0134	-8.83078	30.6149	7.88539	-5.9678	1.26885	-10.5172	9.98	-8.755	1.08156	0.990751	3.75669	-0.238292	-0.411148	0.109802	0.236645	1.01121	-0.725328	0.138181	1.00219	0.777203	0.939105	0.503256	-1.25001	0.0229282	0.400733	-0.999518	0.353105	-0.264737	0.0916531	0.397832	-0.804808	0.69318	-0.269701	0.223264
24	0.000512395	15854	0.00178338	19240	2095	9726	0.00326558	0.919447	0.655903	4720	73574	65854	68854	75854	-57.166	-47.4758	20.0966	23.9146	-12.2974	6.11021	-4.1529	7.19342	4.20213	3.08957	-1.05295	3.18426	0.333249	2.54469	-2.75425	-1.80613	-1.29266	-0.274372	-1.38956	1.60361	-1.49504	2.3994	0.0340411	0.154441	-1.03271	-0.587661	-0.693822	0.717575	0.734421	0.0239176	-0.449385	0.220599	-0.564663	0.317541	-0.313109
25	0.00381121	10925	0.00164559	18758	8163	4925	0.00810711	0.767489	0.590876	1058	64983	60925	63925	70925	-48.759	-34.847	-4.41543	44.894	-15.6738	-0.330768	9.74609	-4.75288	5.3063	0.398084	-1.21983	-0.12519	-0.213087	-1.56163	1.35128	-0.702163	-1.36767	-0.787137	0.159107	0.0263442	0.55461	0.570377	-1.43578	1.07011	-0.0261047	-0.614507	-0.344613	0.552216	0.543957	-0.206051	-0.00149237	0.126626	-0.118954	-0.98547	-0.239138
26	0.00272249	18485	0.0125569	15484	6558	6233	8.20571e-05	0.869524	0.336823	3977	75462	68485	71485	78485	-42.1598	27.3597	12.1475	6.15431	-4.79182	-9.37521	-1.30839	-2.95483	2.48742	-0.0485401	3.33324	-0.736554	-2.99589	-0.489553	-0.539603	0.347398	0.928529	-0.0344397	0.543968	-0.895928	-0.563789	-0.137262	0.822368	0.773776	0.499071	0.624122	0.786454	-0.0909369	0.272894	0.0820462	0.000135851	0.419916	-0.0152263	0.106172	-0.0814093
27	0.000126145	10830	0.0014394	10223	7647	7510	0.000243587	0.660128	0.207448	4884	68714	60830	63830	70830	65.2805	-50.4037	36.0089	-27.65	-3.89327	19.9483	11.0711	0.0428073	-6.11737	-4.04391	-0.113908	-8.32071	0.063258	-2.25062	0.71625	-1.89095	0.569558	0.690046	0.701814	-2.75902	-2.37556	0.634719	0.53759	-2.60204	0.00451663	0.0414265	0.375349	-0.514714	-1.07416	-0.329813	-0.122117	0.907672	-0.593202	-0.189395	0.371722
28	0.00130165	12979	0.000146358	14788	7426	2124	0.000910609	0.702397	0.128235	4118	70097	62979	65979	72979	-91.5284	-16.5806	10.8417	7.71125	9.55194	-4.11844	-2.92169	-0.457889	3.4775	-1.20106	3.50585	-0.00428431	2.34618	0.0400478	-1.29725	-1.32766	-0.00107033	0.572612	-0.918336	1.14575	-0.845796	-0.553384	0.950359	0.138166	-0.92849	-0.178807	-0.41007	-0.103138	-0.305783	-0.630484	-0.0839318	-0.529712	0.293635	0.0762655	-0.216056
29	0.000133968	19072	0.000111292	10884	9791	3304	0.000213176	0.883514	0.11925	1762	73834	69072	72072	79072	-85.4526	-75.4946	8.58152	3.24662	5.03537	9.10838	-0.798664	0.379994	-1.59203	3.01266	-2.67633	1.62358	5.09942	-3.00095	0.962682	4.73474	0.261692	-0.896528	-0.687393	-1.17473	0.790486	0.474636	1.26514	-1.8311	-0.218891	0.524559	0.482476	0.0371534	-1.49447	0.0535722	0.192295	-0.206553	-0.510612	-0.407935	0.338959
30	0.00129087	17319	0.000552673	13246	8001	8296	0.00173199	0.799042	0.839587	515	70834	67319	70319	77319	-73.4504	-53.8311	8.07442	28.5179	-6.68539	2.12382	6.2069	4.62536	7.44466	3.5232	-0.36028	0.24715	2.85678	0.426666	0.134783	1.06235	0.112116	-0.974476	-0.105609	-1.1083	0.0368869	2.00713	-0.864866	-0.350824	-1.28367	1.319	-0.517991	-0.339875	0.436748	-0.76513	-0.229003	0.084875	-0.0739325	-0.654323	0.0903723
31	1.00073e-05	12852	0.0072403	15078	2080	8619	0.000696501	0.760683	0.243269	2086	67938	62852	65852	72852	43.6966	50.2028	-10.3981	-7.0477	-0.894631	2.98699	1.17834	5.42248	3.08429	2.24518	-0.237103	-1.31219	5.17922	-0.290618	-1.43828	-0.732225	-0.530221	-2.77467	-1.90833	-1.19539	0.260366	-0.471318	1.53721	0.225323	-0.459367	-0.312804	-0.600428	0.417855	0.637574	0.024847	-0.015721	0.171996	0.52661	0.515644	-0.0131211
32	0.000137688	19177	0.0225253	10344	7691	9365	5.10935e-05	0.651623	0.17782	3658	75835	69177	72177	79177	-39.9963	-127.664	-33.6746	-6.51756	9.65933	12.0356	-13.3081	6.16466	12.1144	-2.84916	3.65935	-0.644845	-5.93569	1.21666	-2.12978	1.75647	-0.398743	-2.05966	0.880424	-2.80366	-1.60684	1.03777	-1.32817	-1.9544	0.791002	2.55835	0.229563	0.00130896	1.15089	1.23256	-1.04208	-0.128258	0.900478	0.458453	-0.812003
33	0.0038347	14723	0.00833354	11728	6424	4500	0.00546579	0.844435	0.630019	774	68497	64723	67723	74723	-22.8413	-20.8311	35.5396	-6.16821	-19.1372	12.0353	-6.90491	6.99035	2.73588	0.604551	-0.333904	5.8695	-1.25197	-2.57496	2.82425	-1.41673	-1.84406	0.380833	-0.651847	2.00652	-0.564337	0.424641	-0.318352	-0.775891	-0.112369	0.515608	-0.362494	-0.422283	-0.657582	0.436723	0.320704	-0.177164	0.324538	-0.494832	0.246609
34	0.00280199	17671	0.0109439	14145	7767	3500	2.08664e-05	0.665686	0.516293	1801	72472	67671	70671	77671	-26.7947	-32.6448	-16.4739	-2.20319	9.78168	17.0394	2.72527	-2.82391	-2.78325	-10.4859	-1.15881	3.08782	0.375068	0.383154	2.90146	1.33051	-0.170615	2.28438	-0.6462	1.33329	-0.54449	-1.64838	0.38732	-0.883597	1.71736	-0.49943	0.973122	-0.18084	0.616158	-0.0188325	0.138522	0.548539	-0.463077	-0.0354119	0.111757
35	0.00166341	14091	0.0017014	10057	8490	9931	0.000152192	0.621694	0.495639	3201	70292	64091	67091	74091	-23.4028	39.5019	-0.470661	-8.79363	3.77652	-8.74289	0.465121	-2.27055	-1.67618	4.35879	0.369441	-3.70523	1.0176	-0.325301	0.754983	-1.15186	1.66218	-2.51731	0.147832	-1.78991	-0.348246	0.188529	-0.437858	0.139423	-0.459444	-0.150663	0.576511	-0.411816	-0.0415866	-0.139005	-0.191748	-0.302004	0.300233	-0.152483	0.436454
36	5.11202e-05	13350	0.0135589	14659	4871	3974	5.50945e-05	0.60679	0.379289	3943	70293	63350	66350	73350	78.7594	-38.0495	32.5598	-6.73486	-2.87529	31.286	5.8825	0.82997	-4.60891	-9.64381	1.12348	-6.41024	-2.54012	-0.510409	0.269306	3.02464	0.532564	0.416901	2.06242	-1.63793	-1.05967	0.399676	-0.453285	1.63256	-1.93963	0.743507	-0.764568	-0.47596	-1.32373	-0.500245	-0.439082	0.186889	-0.985142	-0.115557	0.271285
37	0.000192004	15644	0.00934513	10324	7795	9425	0.000324745	0.748905	0.439008	641	69285	65644	68644	75644	-36.8845	8.33688	16.184	-20.3941	5.87073	0.373091	-13.4303	4.04778	-4.75505	5.47603	2.4572	1.84994	4.57599	-2.99893	-0.151293	-3.49176	-2.40795	-0.587235	1.03138	-0.0858082	1.40521	1.25699	0.41876	-0.506892	-0.058534	0.785937	-0.326514	-0.109056	0.726575	-0.0902963	0.623995	0.216453	0.3882	0.209787	-0.13236
38	0.000527543	19352	0.00734239	13249	5875	3758	0.00664952	0.887753	0.211152	2106	74458	69352	72352	79352	-13.0085	34.3212	2.60979	-0.976908	-5.94709	-3.36382	-3.28171	-2.88011	-10.8776	3.12161	-5.03606	1.27352	-3.79629	5.58437	-0.688731	2.9386	0.513783	0.371095	-0.635883	-1.56495	1.28341	0.717339	0.525192	0.225543	-0.668854	0.813105	-0.306215	-1.34955	-0.0173976	-0.220087	-0.129374	0.073317	-0.0266273	0.0270072	0.480956
39	0.0107403	13794	0.00435387	12505	8649	2224	0.000280843	0.70971	0.414337	4428	71222	63794	66794	73794	-55.0829	4.95767	20.1859	-4.00098	-6.13914	-4.44226	-6.00593	-2.82282	-1.52276	3.57287	-0.846893	1.1411	-2.96893	1.11009	-0.5959	0.0707992	-0.595514	0.896594	0.0215933	-0.460251	-0.0730766	0.665479	-0.208547	0.702658	-0.631975	0.85438	-0.922742	0.0913228	0.191713	0.119569	-0.283063	0.263246	0.0684383	-0.555315	-0.106057
40	0.0113407	12830	0.0125336	10763	4768	2689	0.00155186	0.713853	0.687679	1031	66861	62830	65830	72830	-27.8975	13.2929	-14.0114	2.27398	-1.28958	-0.7594	9.73257	-2.97426	3.50517	-1.60123	-2.45096	-1.04215	-0.9886	0.718753	2.68872	-0.0417712	-0.24873	-0.190025	-1.39705	-1.61166	0.612397	-1.18021	-1.14025	0.483622	-0.248071	-0.47077	-0.753494	-0.373796	-0.0713539	0.0736101	-0.339219	-0.226577	0.55286	-0.0885893	0.0918754
41	5.27566e-05	18211	0.0442592	14808	5693	9068	0.00175377	0.605361	0.562573	862	72073	68211	71211	78211	15.8281	64.237	-0.141552	-15.5062	-11.7909	-7.49146	5.40367	0.921138	5.20527	2.15489	0.38451	-0.712273	-4.02601	-1.11279	2.1436	1.02755	-0.28635	-1.06138	0.829402	-1.91099	1.52296	-0.945446	0.160281	0.848941	0.378351	1.13245	-0.433836	0.143023	-0.0101802	0.822084	0.0273225	0.00563723	0.190942	0.0427314	0.192565
42	2.72338e-05	13256	0.00928555	15328	4860	7132	0.000172337	0.968794	0.865256	4092	70348	63256	66256	73256	163.273	-67.1311	17.7267	0.730315	-4.02865	-23.8265	21.956	5.37394	-10.0665	4.20422	4.95111	2.0473	6.48911	3.95589	-6.73406	-0.984507	0.150881	5.0357	-1.78897	-1.66105	-0.196644	1.64408	-1.04343	0.65582	3.2672	1.13628	0.81243	-1.3171	0.135923	0.000515117	-0.848656	0.862894	-1.29867	-0.876702	-0.918627
43	0.0246508	17377	0.000785719	14556	9719	7065	0.0077344	0.891251	0.321466	2752	73129	67377	70377	77377	-85.5126	-52.0375	14.6751	-20.7933	13.433	9.95618	-3.32411	-1.23884	0.868282	-1.15503	-2.50902	0.0512152	1.37592	2.53213	-0.0884072	2.38074	0.55883	0.654307	-0.247616	0.118622	-1.6273	-0.522393	-1.7289	0.0521746	-0.755994	0.0969201	0.463709	-0.628543	0.856105	-0.107313	-0.184271	0.270217	-0.136209	-0.217595	0.20158
44	0.000223448	18719	0.00885566	14937	9617	2075	0.00105057	0.737767	0.269411	1130	72849	68719	71719	78719	14.0092	46.2416	-7.37108	2.65334	-1.71687	-0.851977	3.5164	7.61521	-4.226	-3.38974	0.769021	-0.532187	1.50788	-0.0450205	0.27243	-1.06379	1.16139	-0.939693	1.21735	0.713771	1.37111	-0.946122	-0.318474	0.0147059	-0.75115	0.478528	-0.0894918	0.115218	-0.16044	-0.669208	0.322607	-0.51952	0.453761	-0.10399	-0.1734
45	8.72949e-05	19612	0.000687166	16402	9742	8094	8.8811e-05	0.71575	0.248994	2587	75199	69612	72612	79612	119.899	-146.69	10.5066	-9.82491	7.60646	0.128301	29.5878	-4.90535	4.20467	0.346549	1.24528	3.65512	-1.58247	2.16089	-4.9844	-4.91474	-2.09891	-3.08877	0.282221	2.64957	2.59001	-0.252303	-1.25073	0.442145	0.0266718	0.103642	1.05957	-0.621982	-0.803806	0.346953	0.576834	-0.384981	-0.653224	-1.92177	-0.392093
46	0.00145307	13900	0.0497944	11175	4544	2662	2.49979e-05	0.666859	0.161756	1104	68004	63900	66900	73900	-49.3829	3.16951	-0.5815	13.2148	2.26599	-2.27772	2.07654	-0.472621	4.85412	-3.69388	3.67088	1.26638	-0.157489	3.11925	-0.56458	-2.13545	3.52828	-0.192086	-0.681831	0.949136	-0.729174	0.107322	0.243341	-0.31752	-0.108223	-0.486798	0.113318	0.0680348	0.168579	-0.742914	0.0978448	0.0358428	0.284977	0.431559	-0.301956
47	0.000901137	18771	0.0277038	11770	2902	9506	0.000243722	0.908213	0.852148	3861	75632	68771	71771	78771	17.2796	23.3892	-17.6157	5.64067	1.51088	2.51795	2.21678	1.80709	-3.0137	4.67277	-7.24171	-3.68429	3.28672	1.15202	-3.85361	0.270166	-1.62309	-2.48228	-2.68072	3.43648	-3.44966	1.09864	0.127057	1.13133	-0.830702	-1.73502	0.953715	-1.15148	0.267664	0.83038	0.129096	0.556438	-0.524943	-0.00224882	-0.52897
48	0.00400935	17186	0.0163173	16897	6420	9783	0.00214577	0.636299	0.770115	2165	72351	67186	70186	77186	-85.3453	16.0285	0.38896	-11.2737	14.0529	-13.445	0.566439	-3.24197	-3.56954	2.4821	0.254319	-4.63732	-0.894699	-1.20642	0.44914	-0.513942	2.55593	-0.45893	0.533273	-1.28238	-0.358315	-0.475045	-0.399198	0.681649	0.077388	0.552218	0.413757	-0.0325701	-0.0894477	-0.528656	-0.121664	0.059939	0.292207	-0.37344	-0.0522388
49	0.000210325	13307	0.00039454	11965	9220	6534	0.00322761	0.819335	0.170376	1027	67334	63307	66307	73307	0.499956	36.8527	10.2863	-8.1844	-9.10747	-0.429227	-5.40095	-7.21273	-3.13293	1.36802	-1.57771	3.48308	-2.8889	7.21523	-1.82787	2.50083	3.44948	0.707579	-0.459082	-1.77689	1.0845	0.997031	-0.497321	-0.872233	-0.661708	-0.0206343	-1.08064	0.401942	-0.334076	-0.226014	-0.511932	-0.191513	0.0233121	-0.540621	0.119122
0	6.67704e-05	13037	0.000595783	15754	3047	6134	3.47796e-05	0.654775	0.328915	2999	69036	63037	66037	73037	129.456	-131.537	-33.4238	-6.0159	-19.5487	-23.1936	-16.3085	-4.02848	-4.50374	-0.896335	5.85143	0.243351	-1.06383	0.604952	0.533228	2.45328	1.89133	1.79571	1.13047	0.126791	-0.754236	-1.26601	-0.542348	0.0693127	1.9568	-1.01067	-0.862408	0.165625	1.16284	0.774011	0.285916	-0.92288	-1.01809	1.08464	0.265696
1	0.00190153	19910	0.00603324	15783	2493	8518	0.00183944	0.617372	0.497438	1401	74311	69910	72910	79910	-49.8703	-9.27056	21.6608	-7.50106	-0.851786	2.79235	-5.48303	-9.57444	10.3691	0.388897	3.87986	2.11652	0.131356	3.85954	0.841676	-0.24111	4.03299	-1.43918	-1.68581	-0.827931	-1.3246	-1.19072	0.403425	0.0794477	-0.207661	-0.0802151	1.35229	-1.12373	-0.321513	0.695714	-0.647141	0.104272	-0.489102	-0.18761	0.182871
2	0.00414767	18101	0.00588329	12685	2071	8171	0.000975543	0.784668	0.478984	3994	75095	68101	71101	78101	-79.4827	-33.0953	10.5889	32.9105	-4.05322	-2.02841	1.13204	-4.24565	1.02797	0.335095	-0.482246	-0.559609	0.563795	-0.0585789	-0.375335	0.252927	1.39613	-0.536566	-0.351104	0.844303	-1.09595	1.65725	-1.81707	-0.774208	-0.975109	1.13351	-1.59431	-0.0326308	0.920009	-0.217322	-0.0998328	-0.294679	0.742739	-0.445626	-0.0208141
